var,lang,trialid,n,mean,sd,se,median,min,max,q1,q3
accuracy,du,1,45,3.33,0.6,0.09,3,2,4,3,4
accuracy,du,2,45,3.31,0.79,0.12,4,2,4,3,4
accuracy,du,3,45,3.87,0.34,0.05,4,3,4,4,4
accuracy,du,4,45,2.96,0.98,0.15,3,1,4,2,4
accuracy,du,5,45,3.42,0.66,0.1,4,2,4,3,4
accuracy,du,6,45,3.51,0.66,0.1,4,2,4,3,4
accuracy,du,7,45,3.71,0.51,0.08,4,2,4,3,4
accuracy,du,8,45,3.24,0.88,0.13,3,1,4,3,4
accuracy,du,9,45,2.89,0.8,0.12,3,0,4,3,3
accuracy,du,10,45,2.96,1.02,0.15,3,1,4,2,4
accuracy,du,11,45,3.24,0.77,0.12,3,1,4,3,4
accuracy,du,12,45,3.04,0.82,0.12,3,1,4,2,4
accuracy,ee,1,45,3.02,0.81,0.12,3,1,4,3,4
accuracy,ee,2,45,3.62,0.58,0.09,4,2,4,3,4
accuracy,ee,3,45,3.73,0.45,0.07,4,3,4,3,4
accuracy,ee,4,45,3.42,0.87,0.13,4,1,4,3,4
accuracy,ee,5,45,3.8,0.4,0.06,4,3,4,4,4
accuracy,ee,6,45,3.56,0.62,0.09,4,2,4,3,4
accuracy,ee,7,45,3.91,0.29,0.04,4,3,4,4,4
accuracy,ee,8,45,3.96,0.3,0.04,4,2,4,4,4
accuracy,ee,9,45,3.67,0.67,0.1,4,1,4,4,4
accuracy,ee,10,45,3.71,0.51,0.08,4,2,4,3,4
accuracy,ee,11,45,3.16,0.88,0.13,3,0,4,3,4
accuracy,ee,12,45,3.29,0.73,0.11,3,2,4,3,4
accuracy,en,1,46,2.54,1.05,0.15,3,1,4,2,3
accuracy,en,2,46,3.52,0.66,0.1,4,2,4,3,4
accuracy,en,3,46,3.5,0.62,0.09,4,2,4,3,4
accuracy,en,4,46,3.65,0.64,0.09,4,1,4,3,4
accuracy,en,5,46,2.91,0.81,0.12,3,1,4,3,3
accuracy,en,6,46,3.74,0.49,0.07,4,2,4,4,4
accuracy,en,7,46,3.65,0.67,0.1,4,1,4,3.25,4
accuracy,en,8,46,3.22,1.03,0.15,3.5,0,4,3,4
accuracy,en,9,46,3.39,0.71,0.11,3.5,1,4,3,4
accuracy,en,10,46,3.04,0.84,0.12,3,1,4,2,4
accuracy,en,11,46,2.91,0.86,0.13,3,1,4,2,3.75
accuracy,en,12,46,2.96,1.05,0.16,3,1,4,2,4
accuracy,fi,1,49,2.82,0.88,0.13,3,1,4,2,3
accuracy,fi,2,49,3.55,0.61,0.09,4,2,4,3,4
accuracy,fi,3,49,3.65,0.56,0.08,4,2,4,3,4
accuracy,fi,4,49,3.53,0.62,0.09,4,2,4,3,4
accuracy,fi,5,49,3.71,0.46,0.07,4,3,4,3,4
accuracy,fi,6,49,3.65,0.69,0.1,4,1,4,4,4
accuracy,fi,7,49,3.29,0.79,0.11,3,1,4,3,4
accuracy,fi,8,49,3.39,0.73,0.1,4,2,4,3,4
accuracy,fi,9,49,3.82,0.39,0.06,4,3,4,4,4
accuracy,fi,10,49,1.94,0.56,0.08,2,1,3,2,2
accuracy,fi,11,49,3.1,0.8,0.11,3,1,4,3,4
accuracy,fi,12,49,3.08,0.86,0.12,3,1,4,3,4
accuracy,ge,1,45,3.29,0.73,0.11,3,2,4,3,4
accuracy,ge,2,45,3.93,0.25,0.04,4,3,4,4,4
accuracy,ge,3,45,3.78,0.52,0.08,4,2,4,4,4
accuracy,ge,4,45,3.56,0.62,0.09,4,2,4,3,4
accuracy,ge,5,45,3.42,0.66,0.1,4,2,4,3,4
accuracy,ge,6,45,3.58,0.66,0.1,4,2,4,3,4
accuracy,ge,7,45,3.84,0.37,0.05,4,3,4,4,4
accuracy,ge,8,45,3.71,0.46,0.07,4,3,4,3,4
accuracy,ge,9,45,3.64,0.57,0.09,4,2,4,3,4
accuracy,ge,10,45,3.53,0.55,0.08,4,2,4,3,4
accuracy,ge,11,45,3.58,0.69,0.1,4,1,4,3,4
accuracy,ge,12,45,3.24,0.71,0.11,3,2,4,3,4
accuracy,gr,1,45,3,0.67,0.1,3,1,4,3,3
accuracy,gr,2,45,2.82,0.91,0.14,3,0,4,2,3
accuracy,gr,3,45,3.13,0.79,0.12,3,1,4,3,4
accuracy,gr,4,45,3.36,0.93,0.14,4,1,4,3,4
accuracy,gr,5,45,3.42,0.5,0.07,3,3,4,3,4
accuracy,gr,6,45,3.31,0.76,0.11,3,2,4,3,4
accuracy,gr,7,45,3.09,1.14,0.17,3,0,4,3,4
accuracy,gr,8,45,2.44,0.99,0.15,3,0,4,2,3
accuracy,gr,9,45,3.42,0.87,0.13,4,0,4,3,4
accuracy,gr,10,45,3.2,0.76,0.11,3,1,4,3,4
accuracy,gr,11,45,2.51,1.29,0.19,3,0,4,1,4
accuracy,gr,12,45,3.2,0.81,0.12,3,1,4,3,4
accuracy,he,1,47,2.72,0.88,0.13,3,1,4,2,3
accuracy,he,2,47,3.62,0.53,0.08,4,2,4,3,4
accuracy,he,3,47,3.55,0.58,0.08,4,2,4,3,4
accuracy,he,4,47,3.17,0.64,0.09,3,2,4,3,4
accuracy,he,5,47,3.68,0.52,0.08,4,2,4,3,4
accuracy,he,6,47,3.7,0.46,0.07,4,3,4,3,4
accuracy,he,7,47,3.51,0.83,0.12,4,0,4,3,4
accuracy,he,8,47,3.21,0.69,0.1,3,2,4,3,4
accuracy,he,9,47,3.79,0.46,0.07,4,2,4,4,4
accuracy,he,10,47,3.53,0.62,0.09,4,2,4,3,4
accuracy,he,11,47,3.23,0.98,0.14,4,0,4,3,4
accuracy,he,12,47,3.45,0.8,0.12,4,1,4,3,4
accuracy,it,1,54,3.02,0.74,0.1,3,1,4,3,3.75
accuracy,it,2,54,3.67,0.48,0.06,4,3,4,3,4
accuracy,it,3,54,3.61,0.56,0.08,4,2,4,3,4
accuracy,it,4,54,2.93,0.75,0.1,3,2,4,2,3
accuracy,it,5,54,3.24,0.67,0.09,3,2,4,3,4
accuracy,it,6,54,3.67,0.51,0.07,4,2,4,3,4
accuracy,it,7,54,3.76,0.51,0.07,4,2,4,4,4
accuracy,it,8,54,3.59,0.6,0.08,4,2,4,3,4
accuracy,it,9,54,3.69,0.51,0.07,4,2,4,3,4
accuracy,it,10,54,3.54,0.61,0.08,4,2,4,3,4
accuracy,it,11,54,3.5,0.64,0.09,4,2,4,3,4
accuracy,it,12,54,3.15,0.88,0.12,3,0,4,3,4
accuracy,ko,1,32,2.81,0.78,0.14,3,1,4,2,3
accuracy,ko,2,32,3.34,0.75,0.13,3.5,2,4,3,4
accuracy,ko,3,32,3.34,0.75,0.13,3.5,2,4,3,4
accuracy,ko,4,32,3.66,0.6,0.11,4,2,4,3,4
accuracy,ko,5,32,3.81,0.54,0.09,4,2,4,4,4
accuracy,ko,6,32,3.97,0.18,0.03,4,3,4,4,4
accuracy,ko,7,32,3.84,0.45,0.08,4,2,4,4,4
accuracy,ko,8,32,3.84,0.37,0.07,4,3,4,4,4
accuracy,ko,9,32,3.66,0.55,0.1,4,2,4,3,4
accuracy,ko,10,32,3.53,0.51,0.09,4,3,4,3,4
accuracy,ko,11,32,3.59,0.61,0.11,4,2,4,3,4
accuracy,ko,12,32,2.88,0.79,0.14,3,1,4,2,3
accuracy,no,1,42,2.4,0.83,0.13,2,1,4,2,3
accuracy,no,2,42,2.29,0.77,0.12,2,1,4,2,3
accuracy,no,3,42,3.29,0.71,0.11,3,2,4,3,4
accuracy,no,4,42,3.26,0.8,0.12,3,1,4,3,4
accuracy,no,5,42,3.57,0.7,0.11,4,2,4,3,4
accuracy,no,6,42,2.69,0.6,0.09,3,1,3,3,3
accuracy,no,7,42,3.21,0.84,0.13,3,1,4,3,4
accuracy,no,8,42,3.24,0.98,0.15,4,1,4,2,4
accuracy,no,9,42,3.02,0.95,0.15,3,1,4,2,4
accuracy,no,10,42,2.57,0.83,0.13,3,1,4,2,3
accuracy,no,11,42,1.76,1.14,0.18,2,0,4,1,3
accuracy,no,12,42,2.29,1.04,0.16,2,0,4,2,3
accuracy,ru,1,46,2.83,1.14,0.17,3,0,4,2,4
accuracy,ru,2,46,3.26,0.68,0.1,3,2,4,3,4
accuracy,ru,3,46,3.17,0.57,0.08,3,2,4,3,3.75
accuracy,ru,4,46,3.3,0.59,0.09,3,2,4,3,4
accuracy,ru,5,46,3.22,0.73,0.11,3,1,4,3,4
accuracy,ru,6,46,3.5,0.69,0.1,4,2,4,3,4
accuracy,ru,7,46,3.59,0.72,0.11,4,1,4,3,4
accuracy,ru,8,46,3.48,0.84,0.12,4,1,4,3,4
accuracy,ru,9,46,3.8,0.45,0.07,4,2,4,4,4
accuracy,ru,10,46,3.65,0.57,0.08,4,2,4,3,4
accuracy,ru,11,46,3.15,0.84,0.12,3,1,4,3,4
accuracy,ru,12,46,2.96,0.84,0.12,3,1,4,3,3.75
accuracy,sp,1,48,3.1,0.81,0.12,3,1,4,3,4
accuracy,sp,2,48,3.04,0.82,0.12,3,1,4,2,4
accuracy,sp,3,48,2.83,1.06,0.15,3,1,4,2,4
accuracy,sp,4,48,3.23,0.72,0.1,3,2,4,3,4
accuracy,sp,5,48,3.19,0.73,0.11,3,1,4,3,4
accuracy,sp,6,48,3.75,0.48,0.07,4,2,4,4,4
accuracy,sp,7,48,3.75,0.48,0.07,4,2,4,4,4
accuracy,sp,8,48,3.38,0.76,0.11,4,1,4,3,4
accuracy,sp,9,48,3.79,0.41,0.06,4,3,4,4,4
accuracy,sp,10,48,3.15,0.68,0.1,3,2,4,3,4
accuracy,sp,11,48,3.25,0.76,0.11,3,1,4,3,4
accuracy,sp,12,48,2.96,0.74,0.11,3,1,4,2.75,3
accuracy,tr,1,29,2.41,1.09,0.2,3,0,4,2,3
accuracy,tr,2,29,3.14,0.79,0.15,3,1,4,3,4
accuracy,tr,3,29,3.76,0.44,0.08,4,3,4,4,4
accuracy,tr,4,29,3.62,0.68,0.13,4,2,4,3,4
accuracy,tr,5,29,3.86,0.35,0.07,4,3,4,4,4
accuracy,tr,6,29,3.52,0.83,0.15,4,1,4,3,4
accuracy,tr,7,29,3.31,0.71,0.13,3,2,4,3,4
accuracy,tr,8,29,3.52,0.63,0.12,4,2,4,3,4
accuracy,tr,9,29,3.48,0.51,0.09,3,3,4,3,4
accuracy,tr,10,29,3.83,0.38,0.07,4,3,4,4,4
accuracy,tr,11,29,2.59,1.09,0.2,3,0,4,2,3
accuracy,tr,12,29,2.62,0.73,0.14,3,1,4,2,3
